DOY,LAI,DOY,Model,MODIS
,,116,0,0.067114271
,,117,0,0.070052951
,,118,0,0.072991636
,,119,0,0.075930315
,,120,0,0.078869
,,121,0,0.081760282
,,122,0,0.084604171
,,123,0,0.087448055
,,124,0,0.090291944
,,125,0,0.093135827
,,126,0,0.095979716
,,127,0,0.0988236
,,128,0,0.101667489
,,129,0,0.104511371
,,130,0,0.107355261
,,131,0,0.110199151
,,132,0,0.113043034
,,133,0,0.115886916
,,134,0,0.118730806
,,135,0,0.121574696
,,136,0,0.124418579
,,137,0,0.137317479
,,138,0,0.150216355
,,139,0,0.163115255
,,140,0,0.176014132
,,141,0,0.188913032
,,142,0,0.201811908
,,143,0,0.214710808
,,144,0,0.227609684
,,145,0,0.240508585
,,146,0,0.253407461
,,147,0,0.266306361
,,148,0,0.279205237
,,149,0,0.292104137
,,150,0,0.305003013
,,151,0,0.317901914
,,152,0,0.331015767
,,153,0,0.344344634
,,154,0,0.3576735
,,155,0,0.371002335
,,156,0,0.38433117
,,157,0,0.397660037
,,158,0,0.410988903
,,159,0,0.424317738
,,160,0,0.437646573
,,161,0,0.450975439
,,162,0,0.464304306
,,163,0,0.477633141
,,164,0,0.490961976
,,165,0,0.504290842
,,166,0,0.517619709
,,167,0,0.548050468
,,168,0,0.595583241
,,169,0,0.643115929
,,170,0,0.690648702
,,171,0,0.73818139
,,172,0,0.785714163
,,173,0,0.833246851
,,174,0,0.880779624
,,175,0,0.928312397
,,176,0,0.975845085
,,177,0,1.023377858
,,178,0,1.070910546
,,179,0,1.118443319
,,180,0,1.165976007
,,181,0,1.21350878
,,182,0,1.260274811
,,183,0,1.306274272
,,184,0,1.352273647
,,185,0,1.398273108
,,186,0.17,1.444272483
,,187,0.19,1.490271943
,,188,0.21,1.536271319
,,189,0.22,1.582270779
,,190,0.24,1.628270139
,,191,0.27,1.674269615
,,192,0.29,1.720269091
,,193,0.33,1.766268451
,,194,0.37,1.812267811
,,195,0.41,1.858267287
,,196,0.47,1.904266763
,,197,0.53,1.950266123
,,198,0.61,1.944046684
,,199,0.68,1.937827257
,,200,0.75,1.931607818
,,201,0.84,1.925388391
,,202,0.93,1.919168952
,,203,1.02,1.912949525
,,204,1.1,1.906730086
,,205,1.18,1.900510659
,,206,1.27,1.89429122
,,207,1.36,1.888071793
,,208,1.45,1.881852354
,,209,1.55,1.875632927
,,210,1.56,1.869413488
,,211,1.53,1.863194061
,,212,1.51,1.856974622
,,213,1.53,1.850755195
,,214,1.55,1.844535756
,,215,1.59,1.838316329
,,216,1.62,1.83209689
,,217,1.66,1.825877463
,,218,1.69,1.819658024
,,219,1.74,1.813438596
,,220,1.78,1.807219158
,,221,1.82,1.800999672
,,222,1.84,1.794780292
,,223,1.87,1.788560911
,,224,1.87,1.782341426
,,225,1.9,1.77612194
,,226,1.89,1.76990256
,,227,1.89,1.763683179
,,228,1.9,1.757463694
,,229,1.9,1.736451676
,,230,1.89,1.715439698
,,231,1.9,1.69442768
,,232,1.9,1.673415702
,,233,1.89,1.652403684
,,234,1.9,1.631391706
,,235,1.89,1.610379689
,,236,1.91,1.58936771
,,237,1.92,1.568355693
,,238,1.88,1.547343714
,,239,1.87,1.526331697
,,240,1.86,1.505319718
,,241,1.85,1.484307701
,,242,1.78,1.463295722
,,243,1.63,1.442283705
,,244,1.53,1.420921474
,,245,1.53,1.39920911
,,246,1.5,1.377496746
,,247,1.5,1.355784316
,,248,1.49,1.334071885
,,249,1.48,1.312359521
,,250,1.48,1.290647157
,,251,1.45,1.268934727
,,252,1.44,1.247222296
,,253,1.44,1.225509932
,,254,1.43,1.203797568
,,255,1.42,1.182085138
,,256,1.34,1.160372708
,,257,1.2,1.138660343
,,258,1.08,1.116947979
,,259,0.99,1.093354415
,,260,0.86,1.067879723
,,261,0.76,1.042405077
,,262,0.66,1.016930385
,,263,0.58,0.991455739
,,264,0.56,0.965981047
,,265,0.55,0.940506401
,,266,0.52,0.915031709
,,267,0.49,0.889557017
,,268,0.43,0.864082371
,,269,0.33,0.838607679
,,270,0.24,0.813133033
,,271,0.15,0.787658341
,,272,0.07,0.762183695
,,273,0.07,0.736709003
,,274,0.07,0.711645238
,,275,0.07,0.686992309
,,276,0.07,0.662339426
,,277,0.07,0.637686497
,,278,0.06,0.613033613
,,279,0,0.588380684
,,280,0,0.563727801
,,281,0,0.539074872
,,282,0,0.514421955
,,283,0,0.489769059
,,284,0,0.465116163
,,285,0,0.440463247
,,286,0,0.41581033
,,287,0,0.391157434
,,288,0,0.366504538
,,289,0,0.341851622
,,290,0,0.331993758
,,291,0,0.322135911
,,292,0,0.312278047
,,293,0,0.302420201
,,294,0,0.292562337
,,295,0,0.282704491
,,296,0,0.272846626
,,297,0,0.26298878
,,298,0,0.253130916
,,299,0,0.24327307
,,300,0,0.233415206
,,301,0,0.223557359
,,302,0,0.213699495
,,303,0,0.203841649
,,304,0,0.193983785
,,305,0,0.183961631
,,306,0,0.173775182
,,307,0,0.163588733
,,308,0,0.153402282
,,309,0,0.143215831
,,310,0,0.133029382
,,311,0,0.122842933
,,312,0,0.112656482
,,313,0,0.10247003
,,314,0,0.092283581
,,315,0,0.082097132
,,316,0,0.071910681
,,317,0,0.06172423
,,318,0,0.051537781
,,319,0,0.041351332
,,320,0,0.036258102
,,321,0,0.036258102
,,322,0,0.036258102
,,323,0,0.036258102
,,324,0,0.036258102
,,325,0,0.036258102
,,326,0,0.036258102
,,327,0,0.036258102
,,328,0,0.036258102
,,329,0,0.036258102
,,330,0,0.036258102
,,331,0,0.036258102
,,332,0,0.036258102
,,333,0,0.036258102
,,334,0,0.036258102
,,335,0,0.036258102
,,336,0,0.036258102
,,337,0,0.036258102
,,338,0,0.036258102
,,339,0,0.036258102
,,340,0,0.036258102
,,341,0,0.036258102
,,342,0,0.036258102
,,343,0,0.0362581
,,344,0,0.036258102
,,345,0,0.036258103
,,346,0,0.036258102
,,347,0,0.0362581
,,348,0,0.036258102
,,349,0,0.036258103
,,350,0,0.036258102
,,351,0,0.036258102
,,352,0,0.036258102
,,353,0,0.036258102
,,354,0,0.036258102
,,355,0,0.036258102
,,356,0,0.036258102
,,357,0,0.036258102
,,358,0,0.036258102
,,359,0,0.036258102
,,360,0,0.036258102
,,361,0,0.036258102
,,362,0,0.036258102
,,363,0,0.036258102
,,364,0,0.036258102
,,365,0,0.036258102
