DOY,LAI,DOY,Model,MODIS
,,254,2.6425,3.18
,,255,2.5975,3.12
,,256,2.485,3.06
,,257,2.25,3.01
,,258,2.235,2.95
,,259,2.2225,2.89
,,260,2.20625,2.83
,,261,2.13875,2.78
,,262,2.0575,2.72
,,263,1.995,2.66
,,264,1.985,2.6
,,265,1.96875,2.54
,,266,1.85625,2.49
,,267,1.7325,2.43
,,268,1.52125,2.37
,,269,1.32125,2.31
,,270,1.3125,2.26
,,271,1.30125,2.2
,,272,1.27875,2.14
,,273,1.26625,2.08
,,274,1.1,2.02
,,275,0.7825,1.97
,,276,0.7775,1.91
,,277,0.77375,1.86
,,278,0.76625,1.8
,,279,0.66125,1.74
,,280,0.46875,1.69
,,281,0.465,1.63
,,282,0.4275,1.58
,,283,0.37,1.52
,,284,0.1725,1.46
,,285,0,1.41
,,286,0,1.35
,,287,0,1.3
,,288,0,1.24
,,289,0,1.18
,,290,0,1.17
,,291,0,1.15
,,292,0,1.13
,,293,0,1.11
,,294,0,1.09
,,295,0,1.07
,,296,0,1.05
,,297,0,1.03
,,298,0,1.01
,,299,0,0.99
,,300,0,0.97
,,301,0,0.95
,,302,0,0.93
,,303,0,0.91
,,304,0,0.9
,,305,0,0.88
,,306,0,0.86
,,307,0,0.84
,,308,0,0.82
,,309,0,0.8
,,310,0,0.78
,,311,0,0.76
,,312,0,0.74
,,313,0,0.72
,,314,0,0.7
,,315,0,0.68
,,316,0,0.66
,,317,0,0.64
,,318,0,0.62
,,319,0,0.6
,,320,0,0.58
,,321,0,0.58
,,322,0,0.57
,,323,0,0.57
,,324,0,0.56
,,325,0,0.55
,,326,0,0.55
,,327,0,0.54
,,328,0,0.53
,,329,0,0.53
,,330,0,0.52
,,331,0,0.52
,,332,0,0.51
,,333,0,0.5
,,334,0,0.5
,,335,0,0.49
,,336,0,0.48
,,337,0,0.48
,,338,0,0.47
,,339,0,0.47
,,340,0,0.46
,,341,0,0.45
,,342,0,0.45
,,343,0,0.44
,,344,0,0.43
,,345,0,0.43
,,346,0,0.42
,,347,0,0.42
,,348,0,0.41
,,349,0,0.4
,,350,0,0.4
,,351,0,0.4
,,352,0,0.4
,,353,0,0.39
,,354,0,0.39
,,355,0,0.39
,,356,0,0.39
,,357,0,0.39
,,358,0,0.39
,,359,0,0.39
,,360,0,0.39
,,361,0,0.38
,,362,0,0.38
,,363,0,0.38
,,364,0,0.38
